score_bin,frequency,year
5.33,274,2023
10.26,47.24,2023
15.39,274,2023
21.11,274,2023
27.23,274,2023
32.56,1407.79,2023
35.13,4922.53,2023
36.7,9004.16,2023
37.49,12065.38,2023
38.48,15466.74,2023
39.07,19321.62,2023
40.45,24423.66,2023
41.05,28505.29,2023
42.03,32927.06,2023
42.82,36668.56,2023
44.01,41090.33,2023
44.99,44605.06,2023
46.77,48800.08,2023
48.94,51407.79,2023
51.7,50160.62,2023
53.68,47099.4,2023
55.65,44038.17,2023
57.23,40410.05,2023
59.2,36328.42,2023
61.57,32586.92,2023
63.74,29298.94,2023
66.7,25897.58,2023
70.45,22496.22,2023
74,19888.51,2023
78.15,17847.7,2023
82.89,15806.88,2023
87.42,14332.96,2023
93.15,12405.52,2023
98.67,11385.11,2023
104,9911.19,2023
110.91,8437.26,2023
117.42,7303.48,2023
122.95,6623.21,2023
128.67,5829.55,2023
133.8,5376.04,2023
139.13,4809.15,2023
143.87,4355.63,2023
148.21,4015.5,2023
152.16,3561.98,2023
156.89,2768.33,2023
161.83,2314.82,2023
166.37,1407.79,2023
170.51,954.27,2023
174.46,500.76,2023
177.22,274,2023
179.59,274,2023
7.1,47.24,2024
12.82,160.62,2024
18.55,47.24,2024
25.46,47.24,2024
31.57,614.14,2024
34.34,3108.47,2024
36.7,7643.61,2024
37.89,12292.14,2024
39.66,16827.29,2024
40.85,21702.57,2024
41.64,26010.96,2024
42.82,30999.62,2024
44.4,36215.04,2024
45.78,41883.98,2024
47.95,45512.09,2024
49.73,49026.83,2024
53.28,48459.94,2024
56.44,45171.96,2024
58.81,41770.6,2024
60.58,38822.75,2024
62.95,35874.91,2024
65.12,33040.44,2024
67.29,30319.35,2024
69.47,27938.4,2024
72.82,25217.31,2024
75.58,22949.74,2024
81.11,20115.27,2024
86.24,17847.7,2024
91.57,15693.5,2024
96.9,14332.96,2024
101.04,13085.79,2024
105.38,12292.14,2024
110.12,11271.73,2024
114.86,10251.32,2024
119.99,9571.05,2024
124.13,8777.4,2024
129.07,8097.13,2024
133.61,7756.99,2024
139.13,7076.72,2024
143.87,6623.21,2024
149,6396.45,2024
153.54,6056.31,2024
158.47,5829.55,2024
162.22,5035.9,2024
166.56,4242.25,2024
170.12,3108.47,2024
173.08,2088.06,2024
175.84,1067.65,2024
179.98,160.62,2024
